note_id,created_at,researcher,related_interview_id,participant_id,note_type,content,product_area_tag,priority,sentiment
RN-0290,2024-10-16 21:30:31,James Chen,INT-019,P-038,action_item,There's an easy win here that I want to push for quickly — adding saved presets for drill-down charts in overview page. Four out of six participants in this round asked for this independently. The current experience of reconfiguring everything each time they investigate drill-down charts workarounds is creating daily friction that a relatively simple feature could eliminate. I'll work with @product on a spec and plan to validate the prototype with P-038 and others from this cohort.,,medium,
RN-0291,"October 13, 2024",Laura Martinez,INT-010,,feature_request,saved presets for regex search config,search,,neutral
RN-0292,2024-12-29 20:25:57,Laura Martinez,,P-098,quote,"""half my afternoon"" on API key generation weekly task — related: TASK-8337",,,positive
RN-0293,2024-12-21 00:02:29,Laura Martinez,INT-002,P-118,action_item,competitive analysis needed for escalation rules — (FEAT-2521),,medium,negative
RN-0294,2024-12-12 06:50:32,Aisha Patel,INT-048,,pain_point,"- mobile widget customization completely broken
- can't load widget customization results at scale on phone
- dashboard area not responsive
- P-??? carries laptop everywhere
- table stakes feature missing",,high,negative
RN-0295,2024-11-03 22:32:16,David Kim,,,quote,"""My boss asks me for this every Friday and it takes me half the afternoon"" — P-??? on widget customization workflow to use widget customization as part of their routine. main dashboard not optimized for recurring use.",,,neutral
RN-0296,2024-12-13 13:09:48,Laura Martinez,,P-077,insight,mental model mismatch on format conversion placement,data-import,,neutral
RN-0297,2024-12-23 13:44:57,James Chen,INT-023,P-013,insight,"I think the real insight from today's session isn't about dashboard templates specifically but about the entire main dashboard workflow. When P-013 tried to integrate dashboard templates into their process, they revealed that their actual goal was three steps beyond what our feature supports. We're solving a sub-problem and users have to manually bridge the gap. This came through really clearly and I want to present it at the next product sync.",,high,mixed
RN-0298,2024-12-28 18:02:12,David Kim,,P-105,feature_request,"""If this worked like Google Docs where my whole team could be in here at once, that would be incredible"" — on collaborative connect drill-down charts to external tools via drill-down charts in main dashboard.",,low,mixed
RN-0299,2024-10-04 15:19:09,Maria Santos,,P-034,feature_request,"## Feature Request
- Request: Bulk batch process items via data sync capability in connected apps
- Requester: P-034
- Use Case: Team processes 200+ items daily; data sync only supports one-at-a-time
- Priority: High — workaround is manual and error-prone
- Similar Requests: Heard from 3 other participants in previous sessions
- Suggested Implementation: Add multi-select + batch batch process items via data sync to data sync",,,neutral
RN-0300,2024-12-17 09:48:54,Maria Santos,,P-111,action_item,"## Action Item
- Task: Add push notifications error states and recovery messages to mobile view
- Owner: @product to write specs, @eng to implement
- Evidence: P-111 hit dead-end errors with no recovery path when trying to validate push notifications improvements with users
- Priority: Critical
- Deadline: Hotfix candidate
- Dependencies: Need error taxonomy from @eng",,medium,
RN-0301,11/22/2024 04:47,James Chen,INT-018,PART-055,quote,"La interfaz no es intuitiva according to PART-055 who said 'I showed this to my team and they all said the same thing — where is the real-time updates?' This wasn't just one user's confusion, they're reporting that their entire team had the same reaction to main dashboard. When a whole team can't find a feature, it's definitely an IA problem, not a user problem. (necesitamos investigar más)",dashboard,low,
RN-0302,2024-11-19 16:58:29,David Kim,,P-107,insight,"""Why can't this just happen automatically?"" — participant on manually needing to use drill-down charts for their daily workflow. Suggests drill-down charts in main dashboard should shift to an automated model.",DASHBOARD,,neutral
RN-0303,"December 3, 2024",Maria Santos,,,,"## Action Item
- Task: Run follow-up study specifically on SSO configuration performance in third-party section
- Owner: @Maria Santos
- Evidence: Multiple participants reported slow load times when trying to add missing SSO configuration capability
- Priority: Medium
- Deadline: End of month
- Dependencies: Need access to performance monitoring data from @eng @laura",integrations,,
RN-0304,12/21/2024 13:46,Aisha Patel,INT-020,,insight,"- pattern: users expect user deactivation in settings
- actually lives in user settings
- mental model mismatch
- 4/6 participants confused
- need IA rework",user-management,low,
RN-0305,2024-12-17 00:52:28,Maria Santos,,P-028,observation,"## Observation
- Context: During task 3, participant attempted to set up API key generation
- Behavior: Immediately went to API console section, found API key generation on first try
- Impact: This part of the flow is well-designed and intuitive
- Recommendation: Use this pattern as a model for other areas",,,mixed
RN-0306,2024-12-15 15:17:07,James Chen,INT-052,P-074,feature_request,The participant asked if we have an API for invoice download because they want to automate the share invoice download configurations with team process in billing page. They're an engineer by background and said their team has already built scripts for other tools and would 'absolutely build automation' if endpoints were available. This aligns with what I'm hearing from enterprise accounts — programmatic access is becoming table stakes.,,,
RN-0307,2024-10-09 16:29:32,David Kim,INT-006,,feature_request,"""If this worked like Google Docs where my whole team could be in here at once, that would be incredible"" — on collaborative connect email alerts to external tools via email alerts in alert configuration. (necesitamos investigar más)",,low,mixed
RN-0308,"November 23, 2024",David Kim,INT-932,P-019,pain_point,"""I just lost everything. Again."" — P-019 after accidentally navigating away from payment section mid-complete the plan upgrade process. No autosave for plan upgrade. They were visibly upset.",,,
RN-0309,"December 12, 2024",Maria Santos,INT-040,,feature_request,"## Feature Request
- Request: Keyboard shortcuts for endpoint documentation in API settings
- Requester: P-???
- Use Case: Power users perform this automate endpoint documentation workflows 20+ times per day
- Priority: Medium — would significantly improve efficiency for heavy users
- Similar Requests: @Maria Santos documented similar feedback
- Suggested Implementation: Cmd/Ctrl + K style command palette with endpoint documentation actions",,medium,positive
RN-0310,12/20/2024 07:25,James Chen,,P-014,observation,"Watched the participant try to configure data refresh settings and they nailed it on the first try, which was a pleasant surprise given how much trouble P-014 had with the same task last week. The difference might be that this participant came from a main dashboard background and already had the right mental model for where data refresh would be. So the design works, but only if you already think in this paradigm.",dashboard,,mixed
RN-0311,2024-10-21 18:24:32,Laura Martinez,INT-018,P-066,feature_request,realtime collab on billing history needed @laura,,,mixed
RN-0312,11/08/2024 03:50,Laura Martinez,,P-030,pain_point,"perms model broken, team can't access SSO provisioning",,medium,negative
RN-0313,10/20/2024 08:24,Maria Santos,INT-001,P-113,insigt,"## Observation
- Context: Returning participant (P-113) revisited account billing after 2-week gap
- Behavior: Could not recall how to complete the plan upgrade workflow — had to re-learn the plan upgrade steps
- Impact: Poor learnability / memorability for infrequent tasks
- Recommendation: Provide a quick-reference or recently-used panel for plan upgrade",,,
RN-0314,10/03/2024 05:55,Maria Santos,,P-020,insight,"## Insight
- Pattern: Cross-functional teams use analytics area differently based on role
- Evidence: Engineers onboard team members to pivot tables daily; PMs access pivot tables weekly; execs never
- Root Cause: The interface doesn't adapt to usage patterns or role-based needs
- Implication: Consider role-based default views for analytics area",,low,
RN-0315,"December 22, 2024",Aisha Patel,INT-016,,,"- ""this actually works great"" - P-???
- on Zapier integration in third-party section
- rare positive feedback
- study what makes this work
- replicate pattern",,,positive
RN-0316,11/23/2024 21:56,Maria Santos,,,pain_point,"## Pain Point
- Issue: No way to undo after completing load push notifications results at scale in mobile app
- Severity: High — data loss risk
- Frequency: Occasional but high-impact when it occurs
- User Impact: P-??? described losing 2 hours of work due to accidental overwrite in push notifications
- Suggested Fix: Implement undo/version history for push notifications operations",,,
RN-0317,11/28/2024 22:54,Aisha Patel,INT-026,P-007,quote,"- ""fix this one thing, I'll deal with the rest""
- P-007 on biometric login
- strongest single-priority signal
- 18-month user
- mobile app pain",,high,mixed
RN-0318,2024-12-26 11:26:29,Aisha Patel,,P-089,insight,"- trust deficit
- P-089 double-checks seat management externally
- others too
- subscription area data not transparent
- show calculation needed",billing/payments,,positive
RN-0319,2024-12-08 01:57:35,Laura Martinez,INT-041,P-042,observation,usr confused by advanced filters location,,,negative
RN-0320,2024-10-03 21:01:50,Laura Martinez,INT-009,P-081,pain_point,"perms model broken, team can't access Zapier integration — cc JIRA-7135",,low,
RN-0321,2024-12-03 14:28:26,Maria Santos,,P-039,observation,"## Observation
- Context: Participant was attempting to set up endpoint documentation in the API console module
- Behavior: Spent 3+ minutes looking for endpoint documentation before asking for help
- Impact: Significant friction in core workflow
- Recommendation: Consider redesigning the endpoint documentation entry point",api,medium,
RN-0322,2024-10-09 01:34:36,Aisha Patel,,P-096,feature_request,"- wants bulk access data validation programmatically in data upload section
- data validation is one-at-a-time currently
- team does 200+/day
- CSV workaround takes 1hr
- high priority",,medium,mixed
RN-0323,12/29/2024 23:07,James Chen,INT-029,P-102,feature_request,"Esto es un pain point importante — P-102 needs real-time collaboration on Zapier integration in integrations hub. Currently their team takes turns and uses a spreadsheet to track who's working on what to avoid conflicts when they customize Zapier integration to fit their needs. They explicitly compared it to Google Docs and said 'if this worked like that, it would save us hours of coordination.' Given how many teams we're seeing with this pattern, I think collaborative editing should be on the roadmap. (muy frustrante para el participante)",integration,low,neutral
RN-0324,2024-12-18 19:23:11,James Chen,INT-049,P-015,pain_point,Every single participant this week has complained about API versioning in developer tools. It's the single most consistent pain point in the entire study. The issue is always the same: they need to complete the API versioning process but the feature requires too much context-switching between screens. One participant had 4 tabs of our product open simultaneously just to complete this one task. We need to consolidate this into a single view.,,,mixed
RN-0325,2024-12-14 09:52:34,Aisha Patel,INT-035,P-060,action_item,"- TODO: escalate Jira sync data loss issue
- P-060 lost work
- no undo in third-party section
- hotfix candidate
- gather clips from all sessions",,high,neutral
RN-0326,2024-11-09 08:04:18,David Kim,,,observation,"""Oh it's here? That makes no sense to me"" — participant located format conversion in data upload section but was clearly surprised by the placement. Completed the task but shook their head.",data-import,high,
RN-0327,2024-11-18 05:19:40,Laura Martinez,INT-004,P-008,insight,role-based views needed for people section,user-management,,mixed
RN-0328,2024-12-12 13:53:27,James Chen,INT-003,P-081,insight,"I think the real insight from today's session isn't about mute settings specifically but about the entire notification settings workflow. When P-081 tried to onboard team members to mute settings, they revealed that their actual goal was three steps beyond what our feature supports. We're solving a sub-problem and users have to manually bridge the gap. This came through really clearly and I want to present it at the next product sync.",,low,mixed
RN-0329,2024-12-01 00:56:43,Aisha Patel,,P-091,feature_request,"- wants bulk connect PDF generation to external tools in report builder
- PDF generation is one-at-a-time currently
- team does 200+/day
- CSV workaround takes 1hr
- high priority",,high,
RN-0330,10/11/2024 18:48,Maria Santos,INT-013,P-076,feature_request,"## Feature Request
- Request: Real-time collaboration on regex search in find section
- Requester: P-076
- Use Case: Multiple team members need to automate regex search workflows simultaneously without conflicts
- Priority: Medium-High — current workaround is screen-sharing
- Similar Requests: Enterprise customers specifically requesting this
- Suggested Implementation: Google Docs-style concurrent editing for regex search",,medium,positive
