note_id,created_at,researcher,related_interview_id,participant_id,note_type,content,product_area_tag,priority,sentiment
RN-0026,2024-06-11 15:58:01,David Kim,INT-016,P-075,quote,"""I spend more time fighting digest settings than actually doing my job"" — P-075, ~25min into session. Trying to use digest settings as part of their routine in notification settings. Third failed attempt. Visibly frustrated.",,low,negative
RN-0027,2024-06-11 13:52:24,David Kim,INT-009,P-004,observation,"""Wait, I thought this was under settings?"" — P-004 looking for SSO configuration to complete the SSO configuration workflow. Ended up finding it in the integration settings sidebar after some hunting.",,medium,positive
RN-0028,"June 23, 2024",Maria Santos,INT-031,P-093,quote,"## Participant Quote
- Quote: ""My boss asks me for this report every Friday and it takes me half the afternoon""
- Context: P-093 discussing drill-down charts workflow in main dashboard to set up drill-down charts for the first time
- Sentiment: Negative — time burden on recurring task
- Related Theme: Automation and efficiency gaps
- Session Timestamp: ~40min mark",,low,
RN-0029,"July 20, 2024",David Kim,INT-021,P-019,,"""I've submitted three support tickets about this exact thing"" — action: pull support ticket history for gesture controls in mobile view. Cross-reference with session data. Owner: @David Kim. Need to quantify the support burden.",,,mixed
RN-0030,08/23/2024 09:54,James Chen,INT-014,P-022,,"Interesting moment when the participant tried to configure API key generation settings — they went to the wrong section first, then backtracked to developer portal area, clicked around for a while looking for API key generation. You could see the frustration building. This maps to what we heard from P-022 last week about the same flow being confusing. I think there's a real information architecture issue here that goes beyond just labeling.",,medium,
RN-0031,"June 21, 2024",Maria Santos,,,action_item,"## Action Item
- Task: Prototype saved presets for data sync configuration in third-party section
- Owner: @product for spec, @Maria Santos for validation
- Evidence: 4/6 participants requested ability to save data sync setup for recurring fix the data sync workflow
- Priority: Medium-High
- Deadline: Next design sprint
- Dependencies: Need to define preset data model",,medium,positive
RN-0032,2024-06-17 07:22:20,Aisha Patel,INT-036,P-005,Action Item,"- TODO: escalate report templates data loss issue
- P-005 lost work
- no undo in report builder
- hotfix candidate
- gather clips from all sessions",,,negative
RN-0033,2024-01-02 05:48:17,Maria Santos,INT-003,P-049,insight,"## Insight
- Pattern: Power users bypass user deactivation entirely when trying to onboard team members to user deactivation
- Evidence: P-049 and 2 others built spreadsheet-based workarounds
- Root Cause: user deactivation in people section is too slow for high-volume use cases
- Implication: Performance optimization could recover significant user time",users,low,
RN-0034,"June 11, 2024",James Chen,INT-030,P-045,action_item,There's an easy win here that I want to push for quickly — adding saved presets for API versioning in developer tools. Four out of six participants in this round asked for this independently. The current experience of reconfiguring everything each time they add missing API versioning capability is creating daily friction that a relatively simple feature could eliminate. I'll work with @product on a spec and plan to validate the prototype with P-045 and others from this cohort.,,,
RN-0035,2024-06-14 03:08:40,Aisha Patel,,P-105,,"- keyboard shortcuts for in-app notifications
- power user does batch process items via in-app notifications 20x/day
- mouse too slow
- command palette approach?
- competitor has this",notifications,high,positive
RN-0036,"May 9, 2024",Maria Santos,INT-034,P-021,feature_request,"## Feature Request
- Request: API access for webhook setup to programmatically customize webhook setup to fit their needs
- Requester: P-021 (engineering background)
- Use Case: Automate repetitive connected apps workflows via scripts
- Priority: High — multiple enterprise customers requesting
- Similar Requests: See JIRA-{num} and related tickets
- Suggested Implementation: REST endpoint for webhook setup CRUD operations",integrations,,mixed
RN-0037,2024-01-10 09:58:25,Maria Santos,,P-101,feature_request,"## Feature Request
- Request: Bulk automate API versioning workflows capability in API settings
- Requester: P-101
- Use Case: Team processes 200+ items daily; API versioning only supports one-at-a-time
- Priority: High — workaround is manual and error-prone
- Similar Requests: Heard from 3 other participants in previous sessions
- Suggested Implementation: Add multi-select + batch automate API versioning workflows to API versioning",,high,
RN-0038,"August 23, 2024",Laura Martinez,,P-059,pain_point,people section perf terrible at scale,,low,
RN-0039,07/31/2024 06:30,David Kim,INT-998,P-073,pain_point,"""I just lost everything. Again."" — P-073 after accidentally navigating away from main dashboard mid-configure widget customization for their use case. No autosave for widget customization. They were visibly upset.",,medium,mixed
RN-0040,2024-07-10 14:59:12,Laura Martinez,,P-073,observation,P-073 used workaround for report templates,,low,positive
RN-0041,02/19/2024 10:21,David Kim,INT-029,P-114,insight,"""I didn't even know this existed until right now"" — P-114 discovering field mapping in data ingestion area during the session. 6-month user. Major discoverability failure. — see JIRA-7234",data-import,medium,neutral
RN-0042,2024-09-23 00:53:07,James Chen,INT-017,P-043,action_item,Muy frustrante para el participante — we need to escalate the saved searches undo/recovery issue in global search as a hotfix candidate. P-043 lost significant work today trying to validate saved searches improvements with users and this isn't the first report. I'm going to document the data loss scenarios we've observed across sessions and send them to the product lead today. @James Chen can you pull the clips from your sessions too? We need to make a strong case for this. — tracked in BUG-3036,,,
RN-0043,2024-02-06 18:48:13,Maria Santos,,P-029,observation,"## Observation
- Context: Participant navigated to overview page and tried to configure dashboard sharing settings
- Behavior: Clicked on three different tabs before locating dashboard sharing; commented that the label was misleading
- Impact: Moderate — users can complete the task but with unnecessary friction
- Recommendation: Rename the tab or restructure the information architecture around dashboard sharing",dashboard,low,positive
RN-0044,2024-03-10 06:06:42,Maria Santos,INT-025,P-076,action_item,"## Action Item
- Task: Redesign rate limit config entry point in developer tools
- Owner: @Maria Santos to create recommendation doc; @product to prioritize
- Evidence: 5/6 participants struggled to redesign rate limit config interface — see sessions P-041 through P-046
- Priority: High
- Deadline: Before next sprint planning
- Dependencies: Need IA audit results from @Maria Santos",Api,medium,
RN-0045,06/14/2024 05:04,Maria Santos,INT-036,P-091,pain_point,"## Pain Point
- Issue: notification settings doesn't remember user preferences for notification preferences
- Severity: Medium — annoying repetitive friction
- Frequency: Every login / session start
- User Impact: Users reconfigure notification preferences settings each time before they can export data using notification preferences
- Suggested Fix: Persist notification preferences preferences per user across sessions",notifications,medium,mixed
RN-0046,06/18/2024 02:20,Aisha Patel,INT-023,P-072,insight,"- power users skip bulk search
- build own workarounds
- global search too slow for bulk use bulk search for their daily workflow
- perf issue more than UX issue
- fix perf first (necesitamos investigar más)",,medium,positive
RN-0047,2024-06-03 16:22:09,Maria Santos,,P-106,,"## Action Item
- Task: Create competitive analysis of notification preferences implementations
- Owner: @Maria Santos
- Evidence: Participants repeatedly mentioned competitor approaches when trying to investigate notification preferences workarounds in alert configuration
- Priority: Medium
- Deadline: Next sprint
- Dependencies: Need licenses/access to competitor tools",notifications,high,negative
RN-0048,2024-02-02 03:58:53,James Chen,,P-013,pain_point,El usuario mencionó que the payment section permissions model makes it impossible to delegate configure seat management for their use case to team members. P-013 said they're the only person on a 12-person team who can access seat management because the permission settings are so confusing that their admin gave up trying to configure it. This is a major bottleneck — one person doing a job that should be distributed. @team,billing,medium,mixed
RN-0049,02/27/2024 06:55,Maria Santos,,P-065,action_item,"## Action Item
- Task: Add search suggestions error states and recovery messages to search bar
- Owner: @product to write specs, @eng to implement
- Evidence: P-065 hit dead-end errors with no recovery path when trying to improve search suggestions performance
- Priority: Critical
- Deadline: Hotfix candidate
- Dependencies: Need error taxonomy from @eng",search,,
RN-0050,"August 31, 2024",Maria Santos,INT-024,P-032,action_item,"## Action Item
- Task: Run follow-up study specifically on camera upload performance in mobile view
- Owner: @Maria Santos
- Evidence: Multiple participants reported slow load times when trying to investigate camera upload workarounds
- Priority: Medium
- Deadline: End of month
- Dependencies: Need access to performance monitoring data from @eng",,,negative
RN-0051,2024-04-24 12:58:07,Aisha Patel,,P-099,feature_request,"- API for invoice download
- P-099 wants to automate batch process items via invoice download
- engineering team would build scripts
- enterprise accounts asking too
- REST endpoints needed",,low,
RN-0052,2024-02-05 05:55:16,Laura Martinez,,P-067,insight,trust gap: users verify webhook management externally,,high,
RN-0053,"March 13, 2024",David Kim,INT-002,P-076,feature_request,"""I set this up the exact same way every single Monday. Let me save it."" — re: data sync presets in integration settings. Participant sketched out desired UI on a sticky note.",,high,negative
RN-0054,"April 14, 2024",Laura Martinez,,P-114,action_item,schedule eng sync re: duplicate detection errors,,high,
RN-0055,2024-03-07 19:47:38,David Km,,P-032,quote,"""This is the one thing that actually works the way I expect"" — P-032 on role assignment in user settings. Unprompted. Only positive comment in entire session.",user-management,low,mixed
RN-0056,2024-02-21 20:33:18,Maria Santos,,P-077,observation,"## Observation
- Context: P-077 was working through the main dashboard flow
- Behavior: Successfully completed locate data refresh in the interface but missed the data refresh option entirely
- Impact: Users may never discover this capability on their own
- Recommendation: Add contextual hints or onboarding tooltip for data refresh",dashboard,medium,
RN-0057,2024-06-18 02:13:40,James Chen,,P-087,observation,"Really fascinating — P-087 has been using the product for 6 months and had never once found rate limit config in developer tools. They've been using a completely manual workaround this whole time to set up rate limit config. When I showed them where it was they literally said 'you're kidding me.' This tells me our discoverability for secondary features is fundamentally broken, not just for new users but for experienced ones too.",,low,mixed
RN-0058,2024-08-11 04:25:35,Maria Santos,,P-055,pain_point,"## Pain Point
- Issue: billing page doesn't remember user preferences for billing history
- Severity: Medium — annoying repetitive friction
- Frequency: Every login / session start
- User Impact: Users reconfigure billing history settings each time before they can recover from a billing history error
- Suggested Fix: Persist billing history preferences per user across sessions",,,negative
RN-0059,2024-02-28 09:42:37,Laura Martinez,INT-033,P-059,feature_request,keyboard shortcuts for integrations hub,,medium,positive
RN-0060,2024-01-07 19:17:19,James Chen,,,quote,At the start of the task P-??? literally said 'I genuinely dread opening this part of the product' before even touching data upload section. That's an emotional response that goes beyond usability — it's affecting how users feel about the entire product. They associate field mapping and the whole work with field mapping workflow with frustration. Fixing the UX here could have outsized impact on overall satisfaction scores.,,,mixed
RN-0061,2024-08-09 00:06:02,James Chen,,,action_item,Muy frustrante para el participante — we need to escalate the faceted search undo/recovery issue in search bar as a hotfix candidate. P-??? lost significant work today trying to validate faceted search improvements with users and this isn't the first report. I'm going to document the data loss scenarios we've observed across sessions and send them to the product lead today. @James Chen can you pull the clips from your sessions too? We need to make a strong case for this.,,,neutral
RN-0062,02/15/2024 05:09,Maria Santos,INT-035,P-103,,"## Participant Quote
- Quote: ""My boss asks me for this report every Friday and it takes me half the afternoon""
- Context: P-103 discussing field mapping workflow in data ingestion area to troubleshoot field mapping issues
- Sentiment: Negative — time burden on recurring task
- Related Theme: Automation and efficiency gaps
- Session Timestamp: ~40min mark",data-import,high,
RN-0063,2024-09-12 05:40:01,James Chen,INT-021,,action_item,Muy frustrante para el participante — we need to escalate the duplicate detection undo/recovery issue in import wizard as a hotfix candidate. P-??? lost significant work today trying to improve duplicate detection performance and this isn't the first report. I'm going to document the data loss scenarios we've observed across sessions and send them to the product lead today. @James Chen can you pull the clips from your sessions too? We need to make a strong case for this.,upload,medium,
RN-0064,2024-02-28 22:40:45,Aisha Patel,,P-033,action_item,"- TODO: spec saved presets for mute settings
- 4/6 participants asked for this
- daily add missing mute settings capability friction in notification center
- easy win
- @product to spec, @Aisha Patel to validate",,,neutral
RN-0065,2024-08-15 04:00:25,David Kim,,PART-037,feature_request,"""If this worked like Google Docs where my whole team could be in here at once, that would be incredible"" — on collaborative customize mobile dashboard to fit their needs via mobile dashboard in mobile section.",,high,negative
RN-0066,2024-03-25 13:36:04,David Kim,,P-114,action_item,"""This should be your top priority, seriously"" — P-114 on drill-down charts in overview page. Action: include verbatim in stakeholder readout. This kind of direct user prioritization carries weight. @David Kim to present.",,,negative
RN-0067,06/29/2024 04:59,Maria Santos,,P-054,Action Item,"## Action Item
- Task: Add drill-down charts error states and recovery messages to home screen
- Owner: @product to write specs, @eng to implement
- Evidence: P-054 hit dead-end errors with no recovery path when trying to validate drill-down charts improvements with users
- Priority: Critical
- Deadline: Hotfix candidate
- Dependencies: Need error taxonomy from @eng",dash,high,mixed
RN-0068,2024-09-11 00:48:12,Aisha Patel,,P-093,insight,"- cross-role pattern
- engineers use mobile view daily
- PMs weekly
- execs never touch mobile navigation
- role-based views needed — related: TASK-7655",mobile-app,high,positive
RN-0069,2024-04-05 02:17:34,Aisha Patel,,,quote,"- ""my whole team was confused by this""
- re: invoice download location
- not individual confusion
- team-wide IA issue
- account billing needs restructuring",billing,,mixed
RN-0070,2024-01-16 11:57:18,Maria Santos,INT-028,P-109,quote,"## Participant Quote
- Quote: ""My boss asks me for this report every Friday and it takes me half the afternoon""
- Context: P-109 discussing import scheduling workflow in import wizard to complete the import scheduling task
- Sentiment: Negative — time burden on recurring task
- Related Theme: Automation and efficiency gaps
- Session Timestamp: ~40min mark",Data Import,medium,positive
RN-0071,2024-05-12 23:47:57,David Kim,INT-037,PART-018,Pain Point,"""My whole team just uses spreadsheets instead because this is too slow"" — on sandbox environment performance in API settings. Loading times measured at 40+ seconds.",,medium,negative
RN-0072,2024-05-29 05:15:07,James Chen,INT-010,P-093,quote,"Got a great quote from P-093 about developer portal: 'This is the one thing in the product that actually works the way I expect.' They were using endpoint documentation and seemed genuinely pleased. The contrast with how they talked about every other section was stark. I want to dig into what specifically makes this flow work — clean labeling, predictable behavior, or just familiarity — so we can apply the same principles elsewhere.",,medium,
RN-0073,2024-05-12 23:05:30,David Kim,,P-016,pain_point,"""I'm the only person who can do this because nobody else can get access"" — P-016 on integrations hub permissions blocking team from using data sync. Major bottleneck.",,,neutral
RN-0074,"July 27, 2024",Aisha Patel,,P-033,insight,"- recurring theme: saved searches should be automatic
- manual onboard team members to saved searches seen as burden
- global search paradigm wrong
- batch/auto > manual/on-demand
- 3 participants independently said this — related: TASK-4454",,high,positive
RN-0075,2024-03-21 16:12:10,James Chen,INT-035,P-102,insight,"After five sessions this week I'm noticing that the participants who struggle most with CSV export are actually our most engaged users. They're trying to share CSV export output with stakeholders in ways we didn't anticipate, pushing report builder beyond its designed scope. The less engaged users don't hit these issues because they stick to the happy path. This suggests our product is growing into a power-user tool but the UX hasn't kept up.",,high,positive
RN-0076,"August 16, 2024",David Kim,INT-996,P-081,quote,"""My boss asks me for this every Friday and it takes me half the afternoon"" — P-081 on access audit log workflow to use access audit log as part of their routine. user settings not optimized for recurring use.",,medium,positive
RN-0077,2024-07-16 21:19:51,James Chen,,P-119,pain_point,"Major pain point emerged around data refresh in home screen. P-119 tried to export data using data refresh and hit an error that just said 'Operation failed' with no details. They tried three more times with slightly different inputs before giving up and filing a support ticket. When I looked at the logs later, the issue was a file size limit that's nowhere in the UI. We're basically setting users up to fail and then giving them no way to understand why.",,high,negative
RN-0078,06/02/2024 21:13,James Chen,INT-034,P-101,action_item,"Marking this as a critical action — we need to share the user settings error state findings with engineering ASAP. P-101 and at least two others were completely blocked trying to improve SSO provisioning performance because SSO provisioning returned errors with no recovery path. I'm going to schedule a sync with the tech lead this week. These aren't edge cases, they're core workflow failures that are driving users to support.",users,low,
RN-0079,05/17/2024 07:54,David Kim,INT-013,P-038,observation,"""My team just exports it and does it in Excel because this is too slow"" — on batch import in data ingestion area. Suggests the feature exists but is not performant or usable enough for real workflows.",,,
RN-0080,"July 1, 2024",David Kim,INT-032,P-076,observation,"""Oh it's here? That makes no sense to me"" — participant located mobile navigation in responsive interface but was clearly surprised by the placement. Completed the task but shook their head.",responsive,high,neutral
RN-0081,05/07/2024 07:42,Laura Martinez,,P-003,observation,P-003 used workaround for team grouping,,,
RN-0082,2024-06-14 23:00:46,Maria Santos,,P-066,quote,"## Participant Quote
- Quote: ""Before we had this, it took three days. Now it's three hours. Still not great, but better.""
- Context: P-066 on using duplicate detection in import wizard to use duplicate detection as part of their routine
- Sentiment: Mixed — acknowledges improvement but still sees gaps
- Related Theme: Progress vs. expectations
- Session Timestamp: ~35min mark",data-import,low,negative
RN-0083,08/24/2024 21:54,Maria Santos,,P-060,action_item,"## Action Item
- Task: Prototype saved presets for email alerts configuration in notification settings
- Owner: @product for spec, @Maria Santos for validation
- Evidence: 4/6 participants requested ability to save email alerts setup for recurring redesign email alerts interface
- Priority: Medium-High
- Deadline: Next design sprint
- Dependencies: Need to define preset data model",notifications,high,
RN-0084,2024-05-05 04:50:22,David Kim,,P-059,insight,"""I don't trust these numbers so I always verify"" — P-059 on access audit log output in user settings. This trust gap is a recurring theme that undermines the feature's value.",,low,positive
RN-0085,"May 7, 2024",Laura Martinez,INT-011,P-120,pain_piont,"integration settings nav needs rework, Slack connector buried",,,mixed
RN-0086,"July 15, 2024",Maria Santos,,P-063,pain_point,"## Pain Point
- Issue: Error messages when attempting to find usage dashboard in the interface are unhelpful — just says 'Something went wrong'
- Severity: Critical — users cannot self-recover
- Frequency: Occurs when usage dashboard input exceeds undocumented limits in subscription area
- User Impact: Users contact support or abandon the task entirely
- Suggested Fix: Add specific error messages with recovery steps for usage dashboard",,high,
RN-0087,2024-05-17 17:52:02,David Kim,,P-030,observation,"""Oh it's here? That makes no sense to me"" — participant located SSO configuration in integration settings but was clearly surprised by the placement. Completed the task but shook their head.",integrations,high,negative
RN-0088,2024-09-13 16:31:15,Maria Santos,INT-012,P-095,action_item,"## Action Item
- Task: Redesign team grouping entry point in user admin panel
- Owner: @Maria Santos to create recommendation doc; @product to prioritize
- Evidence: 5/6 participants struggled to redesign team grouping interface — see sessions P-041 through P-046
- Priority: High
- Deadline: Before next sprint planning
- Dependencies: Need IA audit results from @Maria Santos",user-mgmt,high,
RN-0089,2024-06-07 07:36:48,David Kim,INT-011,,insight,"""My old tool did this completely differently and I keep expecting it to work that way"" — re: invoice download. Mental model carryover from competitor is driving confusion in billing page.",,low,
RN-0090,2024-02-19 18:53:51,David Kim,INT-007,P-110,insight,"""I don't trust these numbers so I always verify"" — P-110 on API versioning output in developer portal. This trust gap is a recurring theme that undermines the feature's value.",,,
RN-0091,09/16/2024 13:31,Aisha Patel,INT-009,P-019,observation,"- alert configuration flow
- participant looked for mute settings in settings
- not there
- found it under tools menu
- 3 min wasted
- needs better nav — cc JIRA-658",,,mixed
RN-0092,2024-06-06 12:59:45,Aisha Patel,INT-008,P-066,pain_point,"- mobile navigation loads 47sec
- mobile view unusable at scale
- usr goes to get coffee while waiting
- perf regression?
- blocks daily complete the mobile navigation process",mobile,,neutral
RN-0093,2024-02-06 17:34:56,Maria Santos,,P-112,feature_request,"## Feature Request
- Request: Keyboard shortcuts for proration settings in billing page
- Requester: P-112
- Use Case: Power users perform this batch process items via proration settings 20+ times per day
- Priority: Medium — would significantly improve efficiency for heavy users
- Similar Requests: @Maria Santos documented similar feedback
- Suggested Implementation: Cmd/Ctrl + K style command palette with proration settings actions",,,
RN-0094,"August 6, 2024",Aisha Patel,INT-015,P-022,observation,"- payment section flow
- participant looked for proration settings in settings
- not there
- found it under tools menu
- 3 min wasted
- needs better nav",,high,
RN-0095,2024-06-30 18:06:53,Laura Martinez,,,action_item,schedule eng sync re: email alerts errors,notifications,high,negative
RN-0096,2024-05-16 02:01:59,David Kim,,P-095,action_item,"""I've submitted three support tickets about this exact thing"" — action: pull support ticket history for bulk user invite in people section. Cross-reference with session data. Owner: @David Kim. Need to quantify the support burden. — see JIRA-8629",,low,negative
RN-0097,2024-08-24 21:56:41,Aisha Patel,INT-022,P-006,pain_point,"- error msgs in find section unhelpful
- 'something went wrong' - that's it
- P-006 filed support ticket
- hidden file limit on faceted search
- critical fix needed",Search,high,
RN-0098,2024-06-12 18:17:15,David Kim,INT-018,P-043,pain_point,"""Every time I open this I have to set it all up again from scratch"" — re: CSV upload not persisting preferences in import wizard. Participant reconfigures daily before they can export data using CSV upload.",,,mixed
RN-0099,2024-09-16 06:04:57,Laura Martinez,INT-007,P-098,quote,"""half my afternoon"" on regex search weekly task",search,,mixed
RN-0100,03/24/2024 21:38,David Kim,INT-027,P-109,pain_point,"""My whole team just uses spreadsheets instead because this is too slow"" — on chart builder performance in data export. Loading times measured at 40+ seconds. — tracked in BUG-4411",,low,neutral
RN-0101,"July 13, 2024",Aisha Patel,INT-015,P-118,action_item,"- TODO: competitive analysis of seat management
- users referencing competitor patterns
- need tool access
- account billing redesign input
- next sprint deadline",,medium,negative
RN-0102,2024-08-13 23:12:20,Aisha Patel,INT-036,P-090,,"- returning usr
- forgot how to locate access audit log in the interface
- access audit log not memorable
- needed help tooltip
- user admin panel area generally confusing",,,
RN-0103,"May 5, 2024",Aisha Patel,,P-036,,"- trust deficit
- P-036 double-checks Jira sync externally
- others too
- connected apps data not transparent
- show calculation needed (esto es un pain point importante)",integrations,medium,mixed
RN-0104,07/20/2024 09:26,Laura Martinez,INT-017,P-103,feature_request,saved presets for payment method config,billing,low,positive
RN-0105,2024-05-01 17:53:23,Laura Martinez,,P-071,insight,"faceted search should be automatic, not manual",,low,positive
RN-0106,01/25/2024 18:26,David Kim,INT-002,P-091,insight,"""Why can't this just happen automatically?"" — participant on manually needing to share seat management output with stakeholders. Suggests seat management in payment section should shift to an automated model.",,low,negative
RN-0107,2024-08-24 17:49:55,Laura Martinez,INT-005,P-094,insight,mental model mismatch on report templates placement,,medium,mixed
RN-0108,2024-05-13 07:44:40,David Kim,,P-012,feature_request,"""If I could do this in bulk I'd save an hour every day"" — P-012 on seat management supporting only individual connect seat management to external tools in subscription area. Strong request, heard from 3+ participants.",,,positive
RN-0109,2024-01-05 21:14:23,Maria Santos,,P-110,,"## Insight
- Pattern: bulk search is the most frequently mentioned unmet need in global search
- Evidence: Raised by P-110 and 3 other participants unprompted
- Root Cause: Competitive products offer this as a default; our implementation requires manual setup
- Implication: Prioritize bulk search automation to reach feature parity",search,low,negative
RN-0110,01/12/2024 18:48,James Chen,INT-008,P-038,action_item,Need to set up a focused follow-up study on email alerts performance specifically. The comments we're getting about load times in alerts section are consistent enough that we should quantify the problem before recommending solutions. I'll draft the study plan by end of week. Going to need performance monitoring data from @eng — P-038's experience today of waiting 47 seconds to add missing email alerts capability was not an outlier.,notifications,low,mixed
RN-0111,2024-05-22 00:30:38,Laura Martinez,INT-003,P-118,action_item,TODO: fix team grouping entry point in user admin panel,,low,
RN-0112,"April 23, 2024",James Chen,,,,"Watched the participant try to configure user deactivation settings and they nailed it on the first try, which was a pleasant surprise given how much trouble P-??? had with the same task last week. The difference might be that this participant came from a user settings background and already had the right mental model for where user deactivation would be. So the design works, but only if you already think in this paradigm.",,low,
